category,price
높이 50cm 미만 거울,1000
책상 유리 크기 이하 깨진 유리,1000
나무 판자,1000
정수만 나오는 정수기,1000
다림질 판,1000
3.3제곱센치미터당 돗자리,1000
목욕탕 수건함,1000
1폭당 병풍,1000
소형 벽시계,1000
소형 스탠드 시계,1000
인라인,1000
긴 장화,1000
긴 부츠,1000
소형 쓰레기통,1000
소형 아이스박스,1000
넓이 5제곱미터 미만 액자,1000
우산,1000
유아용 목마,1000
소형 장난감,1000
3.3제곱미터당 재활용 불가 장판,1000
조명기구,1000
5킬로그램당 폐목재,1000
5킬로그램당 폐플라스틱,1000
높이 30센치미터 미만 항아리,1000
1개당 화분,1000
가로 50센치미터 미만 가방,2000
높이 50센치미터 미만 거울,2000
소형 금고,2000
베란다 유리 크기 미만 깨진 유리,2000
소형 마네킹,2000
밥상,2000
다과상,2000
보행기,2000
빨래건조대,2000
세발자전거,2000
온수기,2000
식기건조기,2000
높이 120센치미터 미만 신발장,2000
대형 쓰레기통,2000
대형 아이스박스,2000
안마기,2000
마사지기,2000
넓이 5제곱미터 이상 액자,2000
옷걸이,2000
행거,2000
유모차,2000
유아용 자동차,2000
이불,2000
대형 장난감,2000
전기장판,2000
1제곱미터당 파티션,2000
2단이하 책꽂이,2000
팬히터,2000
높이 30센치미터 이상 항아리,2000
협탁,2000
환풍기,2000
휠체어,2000
50센치미터 미만 고무통,3000
가로 50센치미터 이상 가방,3000
베란다 유리 크기 이상 깨진 유리,3000
난로,3000
대형 마네킹,3000
1인용 옥 매트,3000
1인용 자석 매트,3000
문짝,3000
교자상,3000
4단 이하 서랍장,3000
대형 선풍기,3000
스키,3000
대형 벽시계,3000
대형 스탠드 시계,3000
높이 120센티미터 이상 신발장,3000
싱크대 1폭,3000
싱크대 찬장 1칸,3000
쌀통,3000
66제곱미터 미만 에어컨,3000
66제곱미터 미만 온풍기,3000
유아용 욕조,3000
응접탁자,3000
1인용 의자,3000
장식장,3000
재봉틀,3000
창문,3000
 3단 이상 책꽂이,3000
3.3제곱미터당 카펫,3000
서랍 없는 책상,3000
컴퓨터 전용 책상,3000
2인용 이하 탁자,3000
48센치미터 미만 텔레비전,3000
3단 이하 파일 캐비닛,3000
50cm 이상 고무통,4000
높이 1m이상 공기청정기,4000
2드럼 미만 기름 탱크,4000
130리터 미만 김치냉장고,4000
두발자전거,4000
문갑 1짝,4000
변기,4000
양변기,4000
좌변기,4000
세면대,4000
10kg 미만 세탁기,4000
2인용 소파,4000
6인용 미만 식탁,4000
싱크대 찬장 2칸,4000
소형 오락기,4000
유아용 침대,4000
소형 의자,4000
바퀴달린 의자,4000
일반 캐비닛,4000
영업용 전기청소기,4000
4단 이상 파일 캐비닛,4000
화장대,4000
높이 1m 이상 가스오븐레인지,5000
100cm 이상 고무통,5000
300리터 미만 냉장고,5000
디지털 피아노,5000
5단 이상 서랍장,5000
세단기,5000
10킬로그램 이상 세탁기,5000
3인용 소파,5000
식기세척기,5000
6인용 이상 식탁,5000
폭 1m 미만 어항수족관,5000
대형 의자,5000
장식장,5000
편수 책상,5000
1인용 침대틀(매트리스 별도),5000
48cm 이상 텔레비전,5000
헬스 기구,5000
1인용 가정용 욕조,7000
1m 미만 금고,7000
2드럼 이상 기름 탱크,7000
300리터 이상 냉장고,7000
1인용 매트리스,7000
폭 1m 이상 어항수족관,7000
66제곱미터 이상 에어컨,7000
66제곱미터 이상 온풍기,7000
대형 오락기,7000
소형 자동 판매기,7000
양수 책상,7000
폭 90cm 미만 책장,7000
2인용 침대틀(매트리스 별도),7000
10인용 이상 탁자,7000
107cm 이상 텔레비전,7000
가스 보일러,10000
기름 보일러,10000
1m 이상 금고,10000
500리터 이상 냉장고,10000
2인용 매트리스,10000
4인용 이상 소파,10000
264제곱미터 이상 에어컨,10000
264제곱미터 이상 온풍기,10000
1인용 옥침대,10000
1인용 황토침대,10000
폭 90cm 미만 장롱 ,10000
폭 90cm 이상 책장,10000
업소용 소형 냉장고,12000
복사기,12000
프린터,12000
폭 90cm 이상 장롱 1쪽,16000
FRP 5드럼 미만 물탱크,16000
대형 자동판매기,16000
폭 120cm 이상 장롱 1쪽,16000
2인용 옥침대,16000
2인용 황토침대,16000
700리터 이상 냉장고,20000
업소용 대형 냉장고,20000
러닝머신,20000
FRP 5드럼 이상 물탱크,20000
피아노,20000
